AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021
Current_Assets,448.1,217.0,,
Current_Liabilities,35.5,25.9,,
Diluted_EPS,-0.955,0.667,-0.35,-0.116
Goodwill_Intangibles,83.2,,,
Inventory,0.0,0.0,0.0,0.0
LT_Debt,0.1,0.1,0.0,0.0
Revenue,97.5,93.5,0.0,0.0
Shares_Diluted,81.7678,81.7678,,
Total_Assets,531.6,217.9,,
Total_Liabilities,47.1,33.4,,
