AAII_QTR_DATA,03/31/2023,12/31/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,03/31/2019
Current_Assets,915.4,1099.1,835.9,1099.1,949.9,653.4,720.8,475.1,592.9,602.7,673.4,271.2,,
Current_Liabilities,238.2,297.8,259.8,297.8,229.2,275.4,261.1,145.9,161.2,123.5,115.0,112.4,,
Diluted_EPS,-0.678,-2.806,-1.248,-0.209,-0.721,-0.861,-1.22,-0.608,-0.435,-0.504,-1.251,-0.371,-1.028,-0.096
Goodwill_Intangibles,2.3,3.4,4.6,3.4,4.7,5.4,4.7,4.1,2.9,1.0,1.0,0.5,,
Inventory,12.2,10.4,8.2,10.4,1.7,1.6,1.7,2.1,1.8,1.5,1.7,1.3,,
LT_Debt,310.2,281.0,193.6,281.0,122.1,72.4,18.9,1.7,1.9,2.5,2.1,153.8,0.0,0.0
Revenue,36.3,117.0,12.0,50.0,18.0,16.9,33.9,13.7,40.8,11.7,11.6,11.5,57.3,10.1
Shares_Diluted,165.2485,159.042,154.8889,154.3495,146.6627,144.9587,141.9367,133.147,133.0051,132.1643,107.7759,129.3524,,
Total_Assets,1209.4,1331.0,1022.7,1331.0,1119.5,813.8,875.1,615.3,721.0,708.6,772.9,364.9,,
Total_Liabilities,556.2,586.7,460.1,586.7,353.5,587.9,535.2,408.8,440.8,373.7,371.9,531.3,,
