AAII_QTR_DATA,03/31/2022,12/31/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,51.8,51.2,37.2,64.0,45.9,21.7,23.2,21.9,21.5,20.9,20.2,17.8,15.6,20.9,15.6
Current_Liabilities,20.5,22.7,14.1,44.3,31.3,28.4,32.9,35.0,37.8,41.4,41.3,40.6,39.0,45.8,40.7
Diluted_EPS,0.758,3.955,0.878,1.391,-0.926,0.598,0.623,0.574,0.469,0.165,0.046,-0.162,-0.162,-0.085,-0.387
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,
Inventory,5.4,5.1,3.5,3.2,3.7,4.0,3.8,3.5,3.5,3.5,3.8,4.0,3.8,3.9,2.6
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,14.9,57.5,14.6,14.7,12.5,12.2,12.0,12.0,12.9,12.5,13.8,12.7,13.8,13.1,11.6
Shares_Diluted,3.2658,3.2658,3.2658,3.2658,3.2658,3.2658,3.2658,3.2658,3.2658,3.2658,3.2658,3.2658,3.2658,3.2658,3.2658
Total_Assets,69.1,68.9,54.8,82.1,64.5,64.7,67.3,67.3,69.0,72.8,72.1,71.3,69.4,76.4,70.6
Total_Liabilities,20.7,23.0,14.4,44.6,31.5,28.7,33.3,35.3,38.2,41.8,41.7,41.0,39.4,46.2,41.0
