AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,06/30/2020
Current_Assets,183.1,220.1,160.4,238.8,330.4,312.7,83.8,83.3,,
Current_Liabilities,171.6,162.4,145.1,143.0,149.8,163.5,149.8,84.7,,
Diluted_EPS,-2.527,-12.01,-5.754,-10.197,-1.708,-4.679,-3.696,-4.243,-0.423,-0.204
Goodwill_Intangibles,,0.0,145.4,148.9,206.5,118.0,132.6,133.6,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,295.4,278.0,286.3,286.7,282.3,168.6,7.9,10.8,0.0,0.0
Revenue,311.1,1109.7,288.9,265.4,266.4,320.8,74.5,128.8,79.3,22.5
Shares_Diluted,25.0256,18.4391,15.6211,15.4048,17.0387,16.5425,17.6541,17.6541,,
Total_Assets,208.0,246.1,346.5,432.3,582.6,446.6,241.2,242.6,,
Total_Liabilities,523.1,502.0,486.1,492.7,503.0,607.9,239.0,182.5,,
