AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,0.1,0.1,0.1,0.1,0.0,24.4,26.5,
Current_Liabilities,0.5,0.1,0.1,0.1,0.2,0.9,1.5,
Diluted_EPS,-0.006,0.002,-0.006,-0.008,-0.005,-0.03,-0.008,-0.004
Goodwill_Intangibles,,,,,,6.2,6.2,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0
Revenue,,0.0,,,,,,
Shares_Diluted,46.8815,46.8815,46.8815,46.8815,,44.2596,,
Total_Assets,2.2,2.3,2.0,2.2,2.6,31.5,33.7,
Total_Liabilities,0.5,0.4,0.3,0.2,0.2,1.4,1.6,
