AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,463.1,445.2,436.6,215.6,214.6,203.7,186.2,171.3,171.0,163.4
Current_Liabilities,180.7,188.7,209.0,144.2,150.8,154.7,138.5,126.8,129.9,129.2
Diluted_EPS,0.111,0.074,-0.055,-0.055,0.056,-0.035,0.016,0.004,-0.009000000000000001,-0.002
Goodwill_Intangibles,117.7,118.3,119.2,120.1,121.0,122.0,123.1,124.1,125.4,127.4
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,141.4,158.5,133.3,107.3,112.9,107.1,95.5,95.9,95.6,99.3
Shares_Diluted,215.065,181.59,156.583,149.629,193.389,146.21,159.682,159.423,143.553,142.378
Total_Assets,653.9,636.5,632.0,418.0,418.0,408.1,371.8,358.9,314.4,310.0
Total_Liabilities,236.8,246.1,267.0,207.4,215.0,221.8,185.5,175.1,137.1,138.1
