AAII_QTR_DATA,02/28/2023,11/30/2022,08/31/2022,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019
Current_Assets,15.6,26.3,29.8,38.0,30.2,36.5,42.6,46.4,42.1,14.0,16.0,14.7,2.8,3.3,6.0
Current_Liabilities,32.2,28.9,29.5,31.5,38.5,39.8,43.9,53.7,66.4,47.2,55.0,51.4,20.2,14.6,6.8
Diluted_EPS,-2.48,-1.832,-5.237,3.045,-2.326,-0.468,-5.294,0.59,-2.781,-1.025,-1.746,-4.678999999999999,-4.1110000000000015,-62.62600000000001,-125.727
Goodwill_Intangibles,23.3,23.7,24.1,37.2,38.2,40.5,41.8,42.5,42.6,44.4,50.3,47.7,10.6,4.9,5.5
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,3.1,8.8,6.7,7.3,7.6,8.0,12.7,15.1,19.2,21.9,14.9,3.6,12.0,16.1,15.9
Revenue,12.0,13.9,15.4,12.4,12.6,16.5,14.7,10.8,10.1,9.9,9.2,2.7,0.8,1.0,5.3
Shares_Diluted,4.0068,3.9554,3.9239,3.9134,3.9087,3.9044,3.8134,3.6007,10.0953,7.6999,7.5867,3.2255,0.7811,0.1647,
Total_Assets,42.6,53.8,57.7,79.1,73.5,82.6,91.1,96.4,92.5,62.3,70.3,66.9,16.2,11.0,13.4
Total_Liabilities,35.4,37.6,36.2,38.8,46.4,48.1,56.8,69.0,85.8,69.4,70.2,55.4,32.7,31.3,23.4
