AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,177.9,202.5,213.1,279.6,,352.4,,352.4,,346.3,
Current_Liabilities,26.7,25.3,20.3,63.7,,0.0,,4.6,,5.8,
Diluted_EPS,,-0.532,-0.82,-0.118,-1.321,,-0.134,,-0.031,,-0.043
Goodwill_Intangibles,2.5,4.7,5.0,5.2,,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,3.3,2.0,2.1,2.0,0.0,308.6,0.0,323.1,0.0,336.2,0.0
Revenue,,0.0,0.0,0.0,0.1,0.7,0.1,0.2,0.0,0.8,0.0
Shares_Diluted,,180.6115,178.428,178.3292,209.1354,,,,,,
Total_Assets,187.7,211.8,222.9,289.6,,,,,,,
Total_Liabilities,178.6,259.0,145.5,213.2,,35.2,,35.2,,34.6,
