AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,282.9,263.8,332.0,307.2,272.4,304.3,302.7,293.1,274.4,497.4,490.6
Current_Liabilities,194.6,186.4,190.2,186.5,164.5,159.8,171.2,167.9,159.8,379.6,143.9
Diluted_EPS,0.401,0.43,0.654,0.436,0.216,0.304,0.334,0.385,0.256,0.348,4.718
Goodwill_Intangibles,7.0,7.0,7.1,7.2,7.2,7.2,7.3,7.3,7.4,7.7,9.9
Inventory,134.7,132.3,132.3,132.4,107.6,112.5,102.3,101.4,105.9,107.3,91.2
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,251.1,273.9,285.7,242.1,227.3,222.2,243.9,248.6,232.2,217.7,235.8
Shares_Diluted,37.9,37.7,37.6,37.6,37.9,37.8,38.0,37.9,37.9,37.6,37.9
Total_Assets,391.5,374.9,442.7,396.7,361.3,396.9,399.6,389.5,358.2,530.0,528.3
Total_Liabilities,274.1,268.1,274.6,248.0,223.6,221.4,233.7,233.4,214.2,392.3,157.0
