AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,273.5,241.2,229.5,226.6,244.3,241.6,214.0,137.7,131.8,199.3,232.1,161.9,174.5,176.7
Current_Liabilities,95.1,80.2,69.6,84.4,110.7,112.8,86.9,115.1,147.0,188.2,160.4,228.4,226.3,236.2
Diluted_EPS,0.294,-0.041,0.489,-0.048,0.112,0.06,-0.304,0.241,0.26899999999999996,-0.472,-0.855,-0.579,-0.16699999999999998,-0.29
Goodwill_Intangibles,15.3,15.4,,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Inventory,67.4,58.5,54.4,58.1,58.3,55.2,41.8,37.7,46.3,45.5,60.6,62.5,77.5,62.7
LT_Debt,52.5,53.7,50.4,70.6,56.8,64.4,71.8,88.0,95.9,139.3,180.8,98.7,102.7,96.4
Revenue,362.2,308.1,385.5,305.6,298.1,218.7,168.8,204.7,212.1,311.4,357.6,365.2,346.3,355.8
Shares_Diluted,73.123,71.39,72.096,71.383,71.929,72.464,67.576,61.699,54.498000000000005,53.828,48.44600000000001,47.777,47.771,45.516999999999996
Total_Assets,531.3,497.9,485.0,483.4,499.2,501.1,476.8,489.5,497.1,571.1,612.5,652.9,685.8,699.0
Total_Liabilities,167.7,154.9,139.7,178.2,191.2,199.4,180.6,244.2,286.4,375.6,392.7,396.3,402.2,408.0
