AAII_QTR_DATA,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1.4,3.8,4.8,5.7,5.3,5.8,5.1,6.2,7.2,8.6,7.9,9.2,8.2,8.2
Current_Liabilities,4.0,4.4,4.5,4.2,3.2,3.6,4.5,3.9,3.9,3.3,2.6,3.3,2.6,2.5
Diluted_EPS,-0.132,-0.046,-0.036,-0.004,-0.015,0.047,-0.345,-0.254,-0.44,-0.069,-0.211,0.039,-0.124,0.08
Goodwill_Intangibles,0.0,0.3,0.3,0.3,0.3,0.3,0.3,1.2,0.9,0.9,0.9,0.9,0.9,0.9
Inventory,0.1,0.3,1.0,0.7,0.9,1.4,0.4,1.2,1.2,0.8,1.0,1.2,0.4,0.1
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,2.3,0.9,0.0,1.5,6.1,0.8,0.1,1.6,7.4,6.1,2.5,2.1,0.3,2.3
Shares_Diluted,35.4181,35.174,35.151,35.1515,31.0272,9.8037,5.1368,5.1368,4.2330000000000005,3.8945,3.8774,3.8284,3.5552,4.9741
Total_Assets,6.5,8.1,10.0,11.3,10.1,10.5,10.0,12.1,12.4,13.4,12.9,14.4,13.6,13.9
Total_Liabilities,4.6,4.4,4.5,4.8,3.9,4.2,5.1,4.5,4.0,3.4,2.7,3.4,2.7,2.5
