AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,1.5,0.9,5.3,11.5,22.1,0.1,1.8,1.2,,,,
Current_Liabilities,5.2,2.7,2.4,1.2,1.0,7.4,6.4,4.3,,,,
Diluted_EPS,-0.345,-0.329,-0.435,-0.317,-0.42,-0.607,-1.586,-0.21,-0.002,0.003,0.003,-0.001
Goodwill_Intangibles,0.6,0.7,0.7,0.8,3.9,4.2,4.4,4.5,,,,
Inventory,,,,,,,,1.1,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,16.0949,16.0877,15.7495,16.0358,10.2446,4.4591,3.166,3.1816,,,,
Total_Assets,4.7,6.5,11.4,17.0,27.3,5.5,7.5,6.0,,,,
Total_Liabilities,5.2,2.7,2.4,1.2,1.0,7.4,6.4,4.3,,,,
