AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,18.2,19.0,17.9,17.5,18.0,17.8,16.5,16.9,16.9,16.8,17.3,17.4,16.7,15.8,14.1,13.9,14.0
Current_Liabilities,8.8,10.1,8.8,8.2,8.7,8.5,8.9,9.5,9.7,9.4,10.0,10.0,8.6,7.6,6.4,6.5,6.6
Diluted_EPS,0.029,0.059,0.018,0.016,0.025,0.024,0.057,0.041,-0.337,0.013000000000000001,-0.079,-0.177,0.005,0.043,0.106,0.061,0.054000000000000006
Goodwill_Intangibles,5.4,5.5,4.7,4.7,4.7,4.7,4.7,4.7,4.7,5.7,5.7,6.1,6.2,4.8,4.8,4.8,4.8
Inventory,5.6,5.5,5.6,5.1,4.8,5.8,4.9,5.3,6.0,5.7,5.4,5.0,4.3,3.6,2.9,3.0,2.8
LT_Debt,0.3,0.5,0.7,0.8,0.9,1.0,1.2,1.7,1.9,2.0,2.0,2.2,2.3,1.8,1.9,2.1,2.2
Revenue,10.4,10.8,9.1,8.0,9.2,7.3,10.4,8.2,7.5,7.5,9.4,7.9,8.8,7.8,9.1,7.7,7.6
Shares_Diluted,5.57,5.291,5.433,5.613,5.5455,5.185,4.34,4.339,4.2729,4.258,4.26,4.258,4.042,3.648,3.551,3.556,3.534
Total_Assets,25.9,26.6,24.8,24.3,24.8,24.5,23.0,23.7,23.9,24.6,25.2,25.7,25.2,22.7,20.1,20.0,20.0
Total_Liabilities,10.1,11.9,10.4,10.1,10.7,10.6,11.2,12.1,12.6,12.0,12.6,12.9,11.6,10.1,8.6,8.8,9.1
