AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1693.8,1783.5,1839.0,2056.8,2050.0,1795.9,2143.5,2458.8,2652.4,1175.0,1424.1,783.5,1111.1,1110.3,1104.8,1088.5,458.1,672.7
Current_Liabilities,1502.8,1600.5,1700.4,1873.9,1908.4,1264.7,1209.4,1088.1,1106.7,971.3,957.7,594.2,627.2,554.4,548.6,491.4,529.1,476.7
Diluted_EPS,-0.15,-0.273,-0.301,-0.446,-0.272,-0.263,-0.254,-0.236,-0.246,-0.206,-0.114,-0.106,-0.129,-0.134,-0.119,-0.185,-0.148,-0.144
Goodwill_Intangibles,1151.4,1159.7,1168.1,1176.4,1184.7,967.0,879.7,475.2,489.6,428.2,439.3,338.7,360.8,332.6,338.6,332.0,337.0,339.3
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,5205.6,5121.6,4835.6,4816.5,4126.3,3798.2,3539.6,3082.3,2981.7,2911.3,2742.9,2250.5,2325.7,2182.0,2053.5,1921.9,1710.8,1636.0
Revenue,340.7,335.6,327.5,318.0,310.0,292.2,264.2,241.8,236.2,220.8,198.7,183.7,184.9,165.2,154.4,136.1,125.1,115.1
Shares_Diluted,183.4038,183.3161,182.8815,182.6148,182.4866,182.0255,181.2036,180.7233,173.0013,157.1713,148.8544,147.6878,142.8806,140.8712,139.453,128.1319,125.0684,124.7459
Total_Assets,10603.4,10612.2,10490.2,10724.1,10152.5,9132.1,8851.9,8264.6,8290.5,6319.7,6160.6,4723.8,4939.0,4338.9,4224.8,3989.9,3150.1,3049.3
Total_Liabilities,7192.2,7194.6,7011.0,7189.8,6547.9,5479.1,5163.5,4524.1,4446.8,4196.9,3955.6,3048.7,3158.1,2874.5,2743.8,2551.7,2317.2,2205.1
