AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,43.0,43.3,45.0,33.8,44.2,39.2,43.7,46.0,52.0,48.1,17.8,15.7,15.4,12.1,13.1
Current_Liabilities,33.5,35.4,40.3,34.5,25.8,22.3,27.2,28.9,25.4,39.3,64.3,59.5,33.3,30.1,39.0
Diluted_EPS,-0.031,-0.057,-0.133,0.006,-0.052,-0.118,-0.18,-0.17,-0.078,-0.673,-0.513,-0.066,-1.032,-2.3680000000000003,-0.0409999999999999
Goodwill_Intangibles,93.3,96.1,103.5,102.1,74.6,75.3,76.0,79.2,40.9,41.5,42.1,43.9,47.7,49.9,80.8
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,9.6,10.2,7.8,0.6,0.6,0.7,0.7,0.8,0.7,0.8,0.8,0.9,0.9,1.0,1.5
Revenue,33.3,34.5,30.4,30.3,28.2,23.0,18.8,22.5,18.6,18.0,15.3,16.3,12.7,38.5,10.1
Shares_Diluted,22.1,22.0,21.9,21.8,20.0,20.1,20.0,19.9,18.1,10.33,8.04,8.0,7.99,7.3,7.8
Total_Assets,151.1,151.8,159.6,145.0,126.4,121.3,126.0,131.1,97.8,94.3,63.9,63.1,66.2,63.5,98.4
Total_Liabilities,48.1,50.7,54.4,41.3,28.4,25.0,29.8,31.8,28.0,42.1,67.0,62.3,64.7,53.9,72.9
