AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,03/31/2019,12/31/2018,03/31/2018
Current_Assets,95.0,119.3,128.7,159.1,,,,,,
Current_Liabilities,15.5,18.3,13.0,,,,,,,
Diluted_EPS,-0.523,-0.066,-0.4,0.012,-0.33,0.059,0.248,0.091,0.222,0.055
Goodwill_Intangibles,35.4,43.0,43.2,,,,,,,
Inventory,0.3,0.5,1.0,,,,,,,
LT_Debt,0.0,2.1,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,35.1,61.6,59.2,73.2,84.4,24.2,45.2,11.1,32.6,7.1
Shares_Diluted,86.1962,86.0768,86.1117,80.9461,,,,,,
Total_Assets,178.6,210.7,213.3,260.3,,,,,,
Total_Liabilities,29.6,31.5,34.2,29.1,,,,,,
