AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,58.6,58.7,54.2,55.4,57.6,60.7,47.5,47.2,,,
Current_Liabilities,71.3,66.1,57.0,57.5,57.0,49.9,194.4,192.0,,,
Diluted_EPS,0.016,-0.862,-7.802,0.254,0.179,0.512,-0.068,-0.09,-0.051,-0.006,-0.002
Goodwill_Intangibles,246.9,251.4,377.7,1448.9,1454.8,1459.1,194.7,197.6,,,
Inventory,16.8,15.7,15.8,14.1,12.5,13.2,9.2,9.5,,,
LT_Debt,113.8,116.5,118.4,119.9,121.4,120.5,0.0,0.0,0.0,0.0,0.0
Revenue,35.0,38.4,40.2,42.0,40.5,44.3,41.5,66.4,19.0,18.0,24.2
Shares_Diluted,136.1242,65.0227,62.8162,135.5248,135.84,50.7857,50.7857,50.7857,,,
Total_Assets,366.3,370.5,495.7,1563.1,1570.1,1566.4,283.3,284.1,,,
Total_Liabilities,309.3,328.5,391.5,999.0,1126.1,1147.6,201.2,198.6,,,
