AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,03/31/2021,12/31/2020,09/30/2020
Current_Assets,511.6,808.2,756.6,757.0,,,
Current_Liabilities,516.6,414.7,320.3,297.7,,,
Diluted_EPS,-2.494,-1.516,0.191,-0.042,0.022,-0.007,-0.064
Goodwill_Intangibles,269.6,1061.2,1064.0,1115.7,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,901.0,1109.0,714.4,473.5,0.0,0.0,0.0
Revenue,164.0,192.5,301.8,242.7,54.2,23.7,36.6
Shares_Diluted,324.967,307.475,317.2799,317.2799,,,
Total_Assets,1845.2,2704.0,2438.9,2106.6,,,
Total_Liabilities,1428.7,1577.3,1053.2,773.2,,,
