AAII_QTR_DATA,12/31/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,70.4,87.9,97.2,102.4,101.5,100.9,107.0,113.3,117.4
Current_Liabilities,13.1,61.1,67.7,35.2,31.5,32.3,34.2,42.0,43.8
Diluted_EPS,0.085,-0.373,-1.028,-0.856,0.052,0.1,0.008,-0.013,-0.045
Goodwill_Intangibles,0.0,4.8,4.4,4.5,4.6,4.7,4.8,5.0,5.2
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,14.6,4.6,10.1,15.6,13.6,11.9,14.0,12.1,15.8
Shares_Diluted,31.9009,5.3468,33.1424,5.5363,5.546,5.549,33.1799,33.3141,33.4466
Total_Assets,134.7,179.4,188.4,194.5,196.0,197.3,200.0,209.6,217.3
Total_Liabilities,14.3,62.5,66.4,37.2,33.2,34.2,38.7,46.1,48.3
