AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,11/30/2020,08/31/2020,05/31/2020
Current_Assets,2.4,2.3,2.2,2.8,1.9,2.1,0.0,0.0,0.0,
Current_Liabilities,4.3,2.7,2.8,5.4,4.7,5.7,0.1,0.1,0.0,
Diluted_EPS,-0.254,-0.513,-0.078,-0.175,-0.089,-0.068,-0.039,-0.302,-0.011000000000000001,-0.008
Goodwill_Intangibles,4.1,4.3,4.6,4.8,0.8,0.0,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.2,1.7,1.7,1.7,0.2,0.2,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.1,,,,
Shares_Diluted,38.6575,37.4214,36.436,34.0606,30.4122,28.6654,1.6406,1.6199,1.2452,
Total_Assets,6.5,6.7,6.8,7.7,2.7,2.1,0.0,0.0,0.0,
Total_Liabilities,4.5,4.4,4.4,7.1,4.9,5.8,0.1,0.1,0.0,
