AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,92.8,112.3,130.3,147.8,146.1,145.6,132.0,126.4,88.9,37.9,47.0,57.2,32.9,45.8
Current_Liabilities,40.5,34.0,32.6,32.9,26.1,23.8,17.3,14.0,15.2,29.1,29.8,30.4,34.6,23.0
Diluted_EPS,-0.177,-0.082,-0.073,-0.062,-0.069,-0.07,-0.063,-0.055,-0.044000000000000004,-0.047,-0.061,-0.153,-0.135,-0.15
Goodwill_Intangibles,63.6,65.5,64.4,64.4,66.2,65.0,64.4,61.3,60.1,58.0,63.0,62.1,69.2,67.9
Inventory,4.1,4.1,2.6,2.3,2.0,2.2,2.2,1.5,1.3,0.6,1.1,1.4,1.2,1.1
LT_Debt,21.2,24.8,28.4,27.9,27.5,15.9,16.3,15.9,15.4,0.0,0.0,0.0,0.0,12.4
Revenue,0.3,0.1,0.1,0.1,0.1,0.3,0.2,0.3,0.2,0.4,0.6,0.6,0.6,0.4
Shares_Diluted,258.2575,258.2567,257.6217,256.3604,255.1425,251.2928,242.9435,234.7094,216.8622,178.2897,178.9035,105.7421,97.6786,97.4816
Total_Assets,172.2,194.0,210.3,224.2,224.6,222.9,209.4,199.6,161.2,107.2,122.2,131.9,114.6,126.2
Total_Liabilities,66.6,64.4,66.4,64.1,56.5,42.9,37.7,33.7,34.6,32.8,33.9,34.7,38.4,39.5
