AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,12/31/2020,09/30/2020
Current_Assets,2184.0,2137.0,1859.0,2001.0,1719.0,1635.0,1561.0,,
Current_Liabilities,1254.0,1296.0,1199.0,1273.0,1092.0,1099.0,1124.0,,
Diluted_EPS,-0.257,-0.003,-0.051,0.014,0.057,0.146,0.374,-0.597,0.546
Goodwill_Intangibles,6553.0,6565.0,6483.0,6624.0,6749.0,6850.0,6928.0,,
Inventory,697.0,628.0,605.0,606.0,598.0,572.0,606.0,,
LT_Debt,2508.0,2411.0,2413.0,2417.0,2220.0,0.0,0.0,0.0,0.0
Revenue,931.0,996.0,942.0,941.0,889.0,1001.0,2764.0,944.0,2468.0
Shares_Diluted,350.0,350.0,350.0,350.0,350.0,350.0,350.0,,
Total_Assets,11169.0,11144.0,10696.0,11002.0,10907.0,10823.0,11037.0,,
Total_Liabilities,4186.0,4111.0,3967.0,4106.0,3767.0,1494.0,1712.0,,
