AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
Current_Assets,139.1,158.8,172.8,189.8,212.9,227.2,78.4,,,,
Current_Liabilities,48.6,51.3,48.8,49.2,50.6,12.5,8.5,,,,
Diluted_EPS,-0.054,-0.18,-0.145,-0.106,-0.32,-0.265,-0.154,-5.303,-0.022,-0.017,-0.009
Goodwill_Intangibles,0.1,1.2,4.2,4.5,5.2,4.2,4.3,,,,
Inventory,2.9,2.4,,,,,,,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,1.9,4.7,3.1,2.4,3.5,5.2,2.2,0.8,0.5,0.0,0.1
Shares_Diluted,196.8993,194.2769,192.5801,190.1825,184.031,183.8483,183.367,,,,
Total_Assets,170.0,191.6,217.6,237.6,256.2,257.4,106.7,,,,
Total_Liabilities,63.9,66.3,66.3,68.6,78.9,43.4,174.9,,,,
