AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,239.6,353.6,407.3,516.6,606.2,139.7,,,,
Current_Liabilities,52.2,88.5,73.6,120.7,51.8,40.3,,,,
Diluted_EPS,-1.125,-0.699,-0.759,-0.96,-0.986,-0.864,-0.772,-0.631,-0.607,-0.667
Goodwill_Intangibles,7.4,48.6,49.2,43.0,43.6,16.0,,,,
Inventory,6.1,6.0,6.0,6.2,6.0,5.7,,,,
LT_Debt,0.0,0.0,0.0,0.0,79.9,79.6,0.0,0.0,0.0,0.0
Revenue,2.6,4.8,3.0,4.1,5.9,3.7,5.9,3.2,1.2,3.0
Shares_Diluted,103.4829,103.1092,102.9209,102.3372,102.2972,97.9409,,,,
Total_Assets,471.0,618.2,522.4,627.3,725.4,227.2,,,,
Total_Liabilities,234.3,274.1,113.9,150.5,156.1,147.4,,,,
