AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,72.0,87.9,93.2,117.4,127.3,21.9,,,,
Current_Liabilities,18.2,16.0,9.7,7.9,6.8,5.6,,,,
Diluted_EPS,-0.504,-0.45,-0.424,-0.335,-0.314,-0.255,-0.191,-0.153,-0.14,-0.133
Goodwill_Intangibles,16.5,16.6,16.7,5.5,5.6,5.7,,,,
Inventory,1.8,2.5,2.4,1.7,1.1,0.7,,,,
LT_Debt,10.7,12.4,14.1,13.7,14.5,14.4,0.0,0.0,0.0,0.0
Revenue,5.7,5.6,3.1,2.8,2.9,2.3,1.9,1.6,1.6,1.4
Shares_Diluted,29.4358,29.3313,29.4345,29.2998,29.2916,29.2289,,,,
Total_Assets,97.3,111.1,116.3,124.5,136.4,31.3,,,,
Total_Liabilities,32.6,33.0,25.5,21.7,24.0,25.1,,,,
