AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,12.5,12.2,12.7,11.3,13.1,12.2,13.1,14.6,14.3,14.1,17.6,26.1,28.1,16.5,20.6,19.2,22.2,17.7,18.2,19.2
Current_Liabilities,13.9,14.3,14.8,18.4,16.9,15.7,22.8,22.8,20.5,18.2,15.6,16.1,15.7,17.3,17.3,11.0,9.8,8.5,7.8,7.4
Diluted_EPS,0.081,-0.366,-3.349,-1.461,-0.534,-0.891,-0.855,-1.848,-1.029,-2.015,-1.544,-3.747,-2.379,-2.894,-1.969,-1.391,-0.946,-1.411,-1.078,-0.6859999999999999
Goodwill_Intangibles,0.5,0.9,1.2,14.6,15.2,15.7,16.4,17.6,18.7,19.8,20.9,22.1,23.2,24.3,42.8,28.2,29.0,29.9,30.7,31.5
Inventory,1.2,1.2,1.2,2.0,2.1,1.8,2.3,2.3,2.2,2.1,2.4,2.3,1.9,1.8,,,,,,
LT_Debt,11.1,11.2,10.0,10.3,10.3,9.5,0.1,0.1,0.1,0.1,0.0,3.5,1.3,3.1,3.9,0.0,0.0,0.0,0.0,0.0
Revenue,9.8,8.3,8.2,15.3,7.9,9.1,8.1,15.9,9.8,9.6,8.2,14.5,9.1,4.2,7.7,6.3,6.0,5.8,5.8,5.5
Shares_Diluted,4.308,4.271,4.242,4.2345,4.208,4.183,4.165,4.142,4.089,4.041,4.038,4.0315,4.004,3.8333,3.82,3.813,3.515,2.8614,2.8215,2.7933
Total_Assets,15.9,16.0,15.3,35.5,38.4,38.4,40.3,43.2,43.9,45.7,50.7,60.6,60.8,51.5,74.7,50.3,54.4,48.4,49.8,51.4
Total_Liabilities,31.9,32.5,30.4,36.9,36.2,34.3,32.4,32.4,30.2,28.2,26.0,30.2,25.1,29.8,37.9,19.5,18.6,15.5,13.8,12.8
