AAII_QTR_DATA,03/31/2021,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,18.2,20.2,20.3,21.4,24.0,20.5,19.7,21.3,14.9,12.0
Current_Liabilities,7.2,10.5,11.1,11.0,10.8,8.6,8.4,7.5,4.0,2.1
Diluted_EPS,0.001,0.003,-0.024,0.026,-0.001,-0.004,0.003,-0.007,-0.006,-0.006
Goodwill_Intangibles,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,
Inventory,4.3,5.0,4.4,5.0,5.4,5.0,5.7,4.5,4.3,2.8
LT_Debt,6.5,10.4,11.4,12.3,12.5,13.5,15.1,17.0,9.3,10.0
Revenue,8.9,11.0,13.4,16.9,17.7,20.7,20.2,17.7,16.8,15.8
Shares_Diluted,4280.202,3866.317,3729.736,3609.107,3694.274,3653.591,3604.039,3562.197,3464.827,3444.37
Total_Assets,88.7,99.9,88.8,179.7,90.8,90.4,104.3,93.0,103.1,122.1
Total_Liabilities,15.2,22.3,22.5,23.3,23.3,22.1,23.5,24.4,13.3,12.2
