AAII_QTR_DATA,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,275.8,328.1,381.7,391.6,366.1,254.7,281.8,321.3,422.2,447.4,456.2,318.2,396.1,408.4,273.5
Current_Liabilities,483.2,512.2,493.5,304.1,279.2,256.7,247.5,267.3,294.2,245.8,207.4,185.3,167.6,135.1,79.6
Diluted_EPS,-1.541,-3.021,-11.668,-8.649,-3.92,-14.222,-12.023,-28.172,-0.255,-0.5539999999999999,-0.321,-0.4370000000000001,-0.631,-1.027,-0.24100000000000002
Goodwill_Intangibles,25.5,27.7,29.8,31.9,13.4,13.9,14.4,13.8,15.1,15.2,15.4,15.6,15.4,1.1,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,176.5,174.0,180.2,185.9,184.7,191.2,192.4,182.0,0.0,0.0,0.0,0.0
Revenue,130.5,143.0,178.0,191.1,192.8,167.3,213.4,209.0,260.1,220.6,214.7,175.3,200.2,147.4,70.3
Shares_Diluted,31.3635,29.9548,2.9955,2.9955,2.971,2.9299,2.8854,2.8563,346.43,252.2788,272.2743,247.3587,95.2089,154.9329,154.9329
Total_Assets,308.0,376.0,435.4,449.1,431.7,310.4,322.7,367.8,461.1,489.4,493.8,346.8,415.2,418.7,283.7
Total_Liabilities,661.8,689.2,665.8,652.7,621.4,518.1,516.6,534.2,571.1,524.7,417.9,212.4,186.7,134.6,79.6
