AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,12/31/2019,09/30/2019
Current_Assets,9945.0,8079.0,9340.0,8821.0,4738.6,3143.3,2053.1,923.5,,
Current_Liabilities,3606.0,2814.0,4400.0,4240.0,1810.1,643.7,393.4,179.0,,
Diluted_EPS,-0.086,0.044,-0.312,-0.094,-0.244,-0.478,-0.102,-0.365,-0.168,-0.458
Goodwill_Intangibles,67.0,70.0,72.0,58.7,38.7,39.0,39.6,40.2,,
Inventory,6628.0,4664.0,6096.0,6268.1,2723.6,840.6,465.9,151.5,,
LT_Debt,4132.0,3068.0,2816.0,2320.4,595.6,136.5,135.5,149.0,0.0,0.0
Revenue,4198.0,5151.0,3822.0,2266.4,1185.4,747.3,248.8,2334.2,1255.7,3484.9
Shares_Diluted,624.958,640.785,612.734,603.389,588.374,565.381,529.5911,544.4226,,
Total_Assets,10136.0,8272.0,9506.0,8968.6,4868.3,3271.7,2175.6,1049.2,,
Total_Liabilities,7780.0,5925.0,7258.0,6605.8,2450.3,888.2,575.6,376.3,,
