AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,15.7,17.6,19.3,19.2,20.8,20.5,21.8,20.9,21.1,18.1,15.9,16.1,20.3,19.6,19.6,19.9,19.3,18.5,20.5,21.4
Current_Liabilities,8.6,9.3,10.2,9.9,10.2,8.6,8.6,8.5,11.4,11.0,7.9,7.7,15.9,14.4,14.4,14.3,13.4,12.3,14.3,14.6
Diluted_EPS,-0.361,-1.336,-0.182,-0.481,-0.461,-0.371,0.084,0.792,-0.004,-0.062,-0.041,-0.185,-0.13,-0.05,-0.008,-0.052,-0.091,-0.079,0.015,-0.09
Goodwill_Intangibles,10.9,11.0,11.2,11.4,11.5,11.7,11.9,12.0,12.3,12.4,12.6,12.8,13.0,13.2,13.3,13.5,13.7,13.9,14.1,14.2
Inventory,9.7,10.7,11.9,12.1,11.6,9.3,7.2,6.5,6.9,6.1,6.2,8.4,11.3,11.4,11.1,11.5,11.2,10.4,10.5,11.0
LT_Debt,1.8,1.9,1.9,1.9,2.0,2.1,2.2,2.3,2.8,4.2,5.6,6.1,2.7,2.8,2.9,3.0,3.2,3.1,3.2,3.3
Revenue,9.2,10.9,12.1,11.2,10.3,22.8,12.3,12.2,11.5,12.0,12.1,8.1,13.7,15.2,16.4,15.5,14.6,15.4,17.1,16.9
Shares_Diluted,3.9296,0.7589,3.7075,3.6372,3.5879,3.5682,3.513,3.4715,15.8278,14.6012,14.0804,13.403,10.1686,9.0234,8.577,8.4151,8.3071,8.1933,8.4008,8.084
Total_Assets,33.4,35.0,35.0,35.4,37.5,37.7,39.5,39.1,39.9,37.6,36.8,37.6,42.0,42.0,42.4,39.6,39.3,38.7,41.0,42.1
Total_Liabilities,14.2,14.5,13.7,13.7,14.3,13.0,13.4,13.6,17.4,18.6,17.2,17.7,22.2,21.1,21.5,18.9,18.4,17.3,19.3,20.7
