AAII_QTR_DATA,06/30/2021,12/31/2020,06/30/2020,12/31/2019,09/30/2019,06/30/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,107.7,96.0,108.8,70.5,54.3,41.6,53.2,51.2,
Current_Liabilities,116.1,100.3,95.7,97.8,54.2,39.8,37.0,33.5,
Diluted_EPS,-9.197,-62.162,-29.671,-28.464,-8.368,-29.356,-47.176,-8.022,-0.08
Goodwill_Intangibles,0.0,0.1,0.1,0.2,0.3,0.3,0.3,0.3,
Inventory,0.6,0.4,0.4,0.6,0.6,0.9,1.1,1.2,
LT_Debt,2.5,2.5,7.4,4.8,24.7,23.6,25.7,21.1,0.0
Revenue,211.6,457.3,642.6,588.2,582.6,741.4,430.0,459.0,451.5
Shares_Diluted,0.5158,0.5196,0.5121,0.3069,0.5113,0.5113,0.5113,0.5113,
Total_Assets,110.5,99.2,113.2,71.3,55.2,42.8,53.8,51.9,
Total_Liabilities,119.0,103.2,103.2,102.7,78.9,63.7,62.7,54.6,
