AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,03/31/2019
Current_Assets,18.2,23.5,28.2,29.7,31.1,33.2,26.3,9.3,0.6,0.6,,
Current_Liabilities,1.4,4.4,5.5,2.5,1.9,1.7,2.7,2.8,4.4,7.1,,
Diluted_EPS,-0.406,-0.254,-0.322,-0.162,-0.122,-0.142,-0.184,-0.763,-0.418,-0.009000000000000001,-0.645,-0.073
Goodwill_Intangibles,0.0,3.3,3.4,2.4,2.6,1.1,1.1,1.4,1.4,1.5,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,4.7,0.5,0.0,0.0
Revenue,0.4,1.2,0.9,0.7,0.5,0.7,1.1,0.3,0.1,1.4,0.2,0.1
Shares_Diluted,14.3165,14.2562,13.9005,14.2529,13.9832,12.6172,11.7561,7.6613,3.6018,6.4037,,
Total_Assets,18.2,26.8,31.7,32.3,33.7,34.3,27.4,10.6,2.5,2.5,,
Total_Liabilities,1.5,4.5,6.2,2.5,2.0,1.8,2.9,3.1,9.1,7.6,,
