AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
Current_Assets,698.0,573.0,514.0,564.0,730.0,882.0,1010.0,1507.0,1505.0,1376.0,629.0,470.0,555.0,548.0,962.0
Current_Liabilities,544.0,547.0,511.0,547.0,552.0,575.0,588.0,740.0,683.0,617.0,557.0,505.0,473.0,443.0,425.0
Diluted_EPS,0.016,0.156,0.049,0.305,0.423,0.205,3.676,-0.053,0.402,0.104,-0.192,0.183,0.4320000000000001,0.507,-0.303
Goodwill_Intangibles,3158.0,3295.0,3308.0,3293.0,3272.0,3255.0,3257.0,3240.0,3249.0,3244.0,4070.0,3924.0,3663.0,3640.0,3544.0
Inventory,45.0,44.0,41.0,41.0,42.0,50.0,44.0,40.0,45.0,41.0,48.0,45.0,41.0,46.0,45.0
LT_Debt,846.0,848.0,849.0,845.0,834.0,823.0,826.0,1565.0,1620.0,1622.0,1668.0,1398.0,1252.0,1289.0,1727.0
Revenue,585.0,496.0,483.0,530.0,560.0,471.0,459.0,512.0,534.0,456.0,507.0,465.0,494.0,419.0,1900.0
Shares_Diluted,121.7,121.6,121.3,124.7,127.8,131.9,133.3,132.0,132.0,134.9,135.5,136.5,136.5,136.2,135.5
Total_Assets,4486.0,4495.0,4410.0,4445.0,4567.0,4687.0,4837.0,5326.0,5339.0,5201.0,5322.0,5017.0,4806.0,4769.0,5023.0
Total_Liabilities,2050.0,2067.0,2035.0,2067.0,2059.0,2056.0,2096.0,3087.0,3088.0,3011.0,3000.0,2680.0,2477.0,2489.0,2819.0
