AAII_QTR_DATA,03/31/2023,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,279.0,265.6,240.1,207.7,215.1,,,,,,,222.0,,218.0,,235.4,,220.7
Current_Liabilities,285.3,254.7,249.0,204.2,212.2,,,,,,,220.1,,207.3,,198.6,,193.5
Diluted_EPS,0.002,0.007,0.018,0.014,0.023,0.023,0.021,0.055,0.018,0.018,0.012,0.01,0.012,0.0139999999999999,0.016,0.025,0.027,0.022
Goodwill_Intangibles,7.5,7.7,9.5,8.4,7.9,,,,,,,9.1,,9.3,,7.9,,8.2
Inventory,38.6,29.1,26.7,17.1,22.3,,,,,,,17.4,,17.6,,23.6,,21.6
LT_Debt,130.4,114.5,62.5,65.4,61.2,0.0,0.0,0.0,0.0,0.0,0.0,69.5,0.0,66.9,0.0,46.2,0.0,30.9
Revenue,107.0,95.8,93.4,82.1,81.9,84.3,77.9,82.8,79.1,74.0,67.6,76.5,78.6,79.4,75.5,77.4,77.0,74.0
Shares_Diluted,,186.2649,,193.9139,,187.1954,,187.0846,,179.3693,,182.8471,,180.3547,,165.6355,,152.5825
Total_Assets,624.3,568.1,498.7,442.5,430.3,,,,,,,457.0,,438.9,,411.9,,366.8
Total_Liabilities,445.1,393.4,331.5,283.6,287.8,,,,,,,305.5,,288.8,,263.6,,242.3
