AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,146.3,161.5,145.8,129.0,,,,,1.8,0.7
Current_Liabilities,200.4,225.2,276.6,258.8,,,,,0.6,0.7
Diluted_EPS,-0.322,-0.778,0.033,0.366,0.144,0.083,0.762,0.018,-0.001,0.0
Goodwill_Intangibles,1456.8,1486.4,106.4,108.4,,,,,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,406.0,409.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,219.8,218.8,199.8,488.6,169.6,147.6,135.8,340.2,0.0,0.0
Shares_Diluted,90.5939,90.5662,95.4966,81.6966,,,,,56.25,56.25
Total_Assets,1617.2,1661.0,256.9,241.2,,,,,519.3,0.7
Total_Liabilities,974.4,1021.6,285.3,268.2,,,,,18.7,0.7
