AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,1611.0,1908.0,2079.0,2110.0,1751.0,1661.0,1769.0,1717.0,,,,
Current_Liabilities,1306.0,1464.0,1423.0,1489.0,1474.0,1400.0,4105.0,2205.0,,,,
Diluted_EPS,-0.012,0.012,0.103,0.166,0.094,0.027,-0.295,0.043,-0.123,0.106,0.086,0.008
Goodwill_Intangibles,1463.0,1473.0,1425.0,1513.0,1608.0,1662.0,1711.0,1774.0,,,,
Inventory,587.0,567.0,505.0,530.0,484.0,407.0,366.0,301.0,,,,
LT_Debt,3559.0,3524.0,3353.0,3395.0,2819.0,2831.0,54.0,2891.0,0.0,0.0,0.0,0.0
Revenue,1131.0,1076.0,1173.0,1303.0,1137.0,1087.0,1038.0,991.0,939.0,893.0,899.0,830.0
Shares_Diluted,597.6,597.7,599.8,603.3,603.3,603.2831,603.2831,603.2831,,,,
Total_Assets,5661.0,5865.0,5734.0,5788.0,5426.0,5325.0,5211.0,5131.0,,,,
Total_Liabilities,5285.0,5410.0,5186.0,5455.0,5011.0,5039.0,4940.0,5871.0,,,,
