AAII_QTR_DATA,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018
Current_Assets,16.5,14.5,16.7,10.8,11.0
Current_Liabilities,9.2,7.8,8.4,6.4,4.5
Diluted_EPS,-0.035,-0.152,-0.1,-0.25,-0.081
Goodwill_Intangibles,,0.0,0.0,0.0,1.2
Inventory,,,0.5,,0.7
LT_Debt,9.2,9.5,6.2,3.7,2.1
Revenue,1.3,2.1,1.0,3.8,1.3
Shares_Diluted,,,,,
Total_Assets,21.3,20.8,19.0,16.3,17.1
Total_Liabilities,24.9,23.8,21.2,16.8,7.1
