AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,368.2,341.4,334.7,317.1,268.0,246.3,233.2,336.4,239.9,,,,,,,0.0,0.0
Current_Liabilities,114.3,109.9,109.0,192.0,135.6,135.9,147.9,271.4,125.7,,,,,,,0.0,0.0
Diluted_EPS,0.094,0.156,0.053,0.075,0.111,0.196,0.12,-1.089,0.17,,,,0.016,,,0.0,0.0
Goodwill_Intangibles,425.8,430.4,432.5,439.5,412.5,417.2,421.9,426.6,431.3,,,,,,,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,262.6,264.2,265.8,179.6,183.4,187.2,191.0,193.5,196.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,235.3,242.2,232.1,246.5,239.7,226.8,201.1,180.0,152.9,138.8,122.4,114.4,102.4,100.3,92.6,85.3,81.5
Shares_Diluted,100.9526,101.1931,101.9204,103.1772,104.122,97.464,97.2902,97.2902,97.2902,,,,,,,,
Total_Assets,925.4,902.0,887.4,883.5,774.8,750.0,731.5,829.6,731.6,,,,,,,0.0,0.0
Total_Liabilities,449.7,446.4,452.5,449.0,367.7,370.9,388.5,513.6,380.9,,,,,,,0.0,0.0
