AAII_QTR_DATA,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,69.6,82.9,86.9,92.1,101.1,139.5,66.9,63.1,68.1,72.0,,,,
Current_Liabilities,22.6,31.5,25.6,23.2,26.2,20.0,22.8,18.4,19.4,22.4,,,,
Diluted_EPS,-0.569,-0.294,-0.141,-0.322,0.327,0.396,1.084,-0.116,-0.622,-0.32,-1.19,-0.861,-0.593,-1.026
Goodwill_Intangibles,18.6,34.9,35.9,36.3,36.7,1.6,0.5,0.6,,,,,,
Inventory,1.1,0.6,1.1,1.0,1.0,1.0,0.7,0.2,,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,36.1,40.0,43.2,40.1,41.3,111.4,36.6,30.7,36.3,31.3,29.3,22.8,22.8,52.8
Shares_Diluted,38.7052,37.2198,36.8857,23.9481,30.4169,35.6513,35.6513,35.6513,35.6513,35.6513,,,,
Total_Assets,90.3,120.3,125.3,130.6,139.9,142.6,72.6,68.6,73.2,76.9,,,,
Total_Liabilities,24.3,32.9,27.2,24.8,27.8,20.2,22.8,18.5,19.4,22.4,,,,
