AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,51.3,54.2,57.4,62.8,65.7,72.7,79.1,85.1,90.7,97.9,97.4
Current_Liabilities,11.2,9.4,11.2,11.0,11.8,10.5,12.4,14.6,15.0,14.2,13.6
Diluted_EPS,-0.199,-0.156,-0.306,-0.131,-1.156,-0.34,-0.491,-0.34,-0.857,-0.344,-0.17
Goodwill_Intangibles,0.4,0.4,0.5,0.6,0.7,35.6,41.6,51.6,52.0,53.1,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.1,0.1,0.1,0.1,0.5,0.5,0.6,0.6,0.6,0.7,0.7
Revenue,1.4,0.9,0.5,0.5,0.7,1.5,1.5,1.8,4.1,4.5,4.4
Shares_Diluted,43.0018,43.0015,43.001,43.0002,42.8374,42.9912,42.8561,42.5829,42.0338,42.3278,41.7329
Total_Assets,71.8,76.4,86.9,99.9,106.2,155.3,169.0,187.3,188.0,221.8,219.1
Total_Liabilities,10.2,7.9,12.6,15.3,17.0,20.6,23.2,26.6,19.6,16.8,16.7
