AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,09/30/2020
Current_Assets,247.2,337.9,285.2,238.9,,,
Current_Liabilities,403.7,417.1,358.6,345.2,,,
Diluted_EPS,-0.065,-0.065,-0.09,-0.054,-0.08,-0.035,-15.675
Goodwill_Intangibles,1922.2,1932.4,1948.1,1965.6,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,195.0,262.6,262.3,750.5,0.0,0.0,0.0
Revenue,161.0,137.4,144.7,134.1,240.1,115.5,118.5
Shares_Diluted,481.6236,481.1441,239.405,481.1217,,,
Total_Assets,2238.2,2341.0,2306.1,2274.9,,,
Total_Liabilities,648.4,732.6,676.6,1153.7,,,
