AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,25.6,19.0,28.8,14.6,18.4,24.9,39.0,32.2
Current_Liabilities,32.2,37.1,38.3,36.2,19.4,18.5,17.3,17.9
Diluted_EPS,-0.299,-1.022,-0.589,-0.413,-0.44,-0.383,-0.218,-0.479
Goodwill_Intangibles,25.5,25.8,48.1,15.9,16.1,16.3,9.1,9.2
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,101.9,93.9,106.0,24.9,38.1,37.5,36.9,37.0
Revenue,19.9,21.1,20.8,14.2,13.1,14.0,13.1,13.7
Shares_Diluted,30.8254,29.5277,27.7745,17.8019,17.8019,17.8369,16.1504,14.1558
Total_Assets,100.4,100.4,143.9,62.3,66.3,72.6,77.5,69.7
Total_Liabilities,131.9,128.8,142.1,59.9,56.6,55.3,53.4,54.0
