AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,41.9,54.1,58.9,58.0,57.8,60.2,81.5,73.5,94.6,71.1,69.7
Current_Liabilities,8.1,7.8,14.9,13.0,9.4,6.5,10.1,8.5,26.5,29.0,51.1
Diluted_EPS,-0.227,-0.479,-0.09,-0.255,-0.329,-0.831,-0.191,-0.124,-0.09,-1.921,-0.64
Goodwill_Intangibles,4.4,5.0,5.7,6.3,7.0,7.6,36.8,37.4,38.1,38.7,39.4
Inventory,8.6,11.6,11.6,11.8,12.0,15.1,12.9,9.6,10.2,10.7,10.2
LT_Debt,88.9,108.1,108.4,109.3,108.8,110.3,108.9,107.4,105.9,64.2,54.7
Revenue,16.8,9.9,19.3,15.5,21.8,99.2,25.3,31.3,25.1,17.8,18.3
Shares_Diluted,29.7379,24.3621,23.642,23.5773,23.3948,22.4142,22.5057,22.9264,21.9182,21.4927,20.7213
Total_Assets,89.6,103.4,108.6,107.2,106.9,110.5,167.7,161.8,181.0,155.5,175.6
Total_Liabilities,98.3,117.5,123.7,122.6,119.1,117.2,187.6,180.5,200.0,175.0,162.1
