AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020,12/31/2019
Current_Assets,8.5,10.1,13.0,18.3,22.2,30.9,13.7,3.2,,,,
Current_Liabilities,5.9,3.8,7.6,4.2,3.2,1.2,1.2,2.3,,,,
Diluted_EPS,-0.379,0.068,-0.404,-0.077,-0.139,-0.135,-0.166,-0.376,-0.167,-0.286,-0.721,-0.347
Goodwill_Intangibles,29.1,30.2,30.5,17.5,16.5,1.3,0.7,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.6,0.6,2.1,0.0,0.0,0.0,0.0
Revenue,3.7,3.0,4.0,2.5,2.1,1.7,1.0,1.0,0.9,1.5,1.9,0.9
Shares_Diluted,13.7832,19.2643,13.3172,12.7424,12.6043,11.6373,9.9678,7.5637,,,,
Total_Assets,41.0,43.7,47.1,38.4,39.3,32.3,14.6,3.2,,,,
Total_Liabilities,12.9,12.8,19.6,9.6,10.3,1.8,1.8,4.4,,,,
