AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
Current_Assets,2.0,2.1,4.5,10.2,12.9,0.4,2.6,7.0,6.2,6.2,5.7,15.1
Current_Liabilities,14.3,10.9,5.4,3.4,3.4,2.7,2.5,2.0,4.6,6.8,10.3,10.8
Diluted_EPS,-32.333,-10.466,-16.295,-12.04,-16.528,-12.872,-18.441,-36.817,-2.453,-2.898,-10.941,-6.645
Goodwill_Intangibles,4.3,17.6,15.9,16.1,10.1,8.3,7.5,5.7,3.6,1.7,1.8,1.8
Inventory,0.0,0.2,0.9,0.2,,,,,,,,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,4.8
Revenue,0.3,1.3,0.1,,,,,,,,0.0,0.0
Shares_Diluted,0.9107,0.7749,0.7019,0.6227,0.3722,0.2293,0.1822,0.1087,1.532,1.0472,0.3059,0.2871
Total_Assets,7.0,20.5,21.3,26.3,23.1,8.8,10.2,13.0,10.1,8.2,8.1,17.3
Total_Liabilities,16.2,12.0,6.8,4.0,4.5,3.9,3.5,3.1,6.3,9.0,12.0,18.8
