AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,0.7,1.1,1.5,2.1,0.1,0.1,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.4,0.5,0.6
Current_Liabilities,3.1,2.5,2.3,2.8,2.8,2.5,3.1,3.2,3.0,2.7,2.4,2.0,1.9,3.3,3.2,2.3,2.4
Diluted_EPS,-0.001,0.0,-0.009,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,-0.003,-0.001,0.001,-0.001,0.0,0.0,0.0
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.3,3.4,3.3,3.3,3.2
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.8,0.9,0.8,0.5,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,1645.599,1619.411,1030.269,1021.001,1470.624,1177.927,1091.585,1090.612,1090.612,1090.612,1095.11,1087.774,1085.149,1078.354,854.8848,1076.9260000000004,1076.9260000000004
Total_Assets,0.8,1.2,1.6,2.2,0.1,0.1,0.0,0.1,0.1,0.2,0.2,35.1,36.7,36.8,3.7,34.7,34.0
Total_Liabilities,3.9,3.4,3.1,3.3,2.9,2.6,3.1,3.3,3.0,2.7,2.4,2.0,1.9,3.3,3.2,3.2,3.2
