AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018
Current_Assets,16.4,18.3,20.3,22.3,24.6,24.6,25.4,10.3,10.3,11.4,7.5,2.3,1.5,2.1,3.5,4.4,1.2,0.5,0.2,0.4
Current_Liabilities,0.8,1.0,0.5,0.5,0.9,1.0,0.7,0.5,0.4,0.6,0.5,0.5,0.3,0.4,0.6,1.0,1.0,1.2,0.6,0.5
Diluted_EPS,-0.759,-1.179,-0.818,-0.865,-0.697,-1.809,-1.255,-1.162,-1.46,-1.648,-2.106,-0.2239999999999999,-0.274,-0.4,-0.389,-0.282,-0.168,-0.0279999999999999,-0.04,-0.1369999999999999
Goodwill_Intangibles,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,2.856,2.833,2.849,2.8304,2.8201,2.2304,2.0295,1.6233,1.5408,1.1325,0.6813,4.5762,3.4664,3.4259,3.3616,2.9951,2.0589,15.3426,14.036,5.0318
Total_Assets,18.5,20.4,22.4,24.4,26.7,28.3,29.0,12.6,12.3,13.4,9.5,4.4,3.5,4.2,5.5,6.5,1.2,0.5,0.2,0.4
Total_Liabilities,0.8,1.0,0.5,0.6,0.9,1.1,0.7,0.6,0.4,0.6,0.5,0.5,0.3,0.4,0.6,1.0,1.0,1.2,0.6,0.5
