AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,480.1,504.7,519.4,33.9,35.2,,,,
Current_Liabilities,11.3,10.9,9.8,45.8,31.9,,,,0.0
Diluted_EPS,-0.157,-0.105,-0.194,-0.36,-1.097,-0.222,-0.279,-0.207,0.0
Goodwill_Intangibles,0.2,0.2,0.3,0.3,0.4,,,,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.1,0.0,1.7,1.6,1.4,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,61.5402,61.5402,61.5402,61.5402,61.5402,,,,25.6
Total_Assets,495.2,518.0,532.4,54.0,53.5,,,,0.0
Total_Liabilities,2096.7,1614.6,1628.8,47.4,33.3,,,,0.0
