AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,120.7,101.4,98.5,113.3,120.2,99.8,91.9,76.6,154.3,143.8,126.4,203.3,161.4,152.5,140.9,137.3,153.9,127.1
Current_Liabilities,71.7,65.9,78.2,67.5,76.0,64.7,74.2,73.4,65.8,67.6,56.8,104.3,71.6,60.6,56.0,68.1,63.9,55.9
Diluted_EPS,0.202,0.129,0.235,0.114,0.072,0.64,0.501,-0.258,0.147,0.029,-0.985,-2.1830000000000003,-2.902,0.243,0.343,-0.183,-3.062,0.334
Goodwill_Intangibles,438.2,455.6,467.3,449.4,436.2,438.2,438.5,438.8,439.1,439.0,438.5,467.3,546.0,705.5,705.0,705.4,655.9,752.4
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,524.4,523.9,523.4,541.9,541.5,540.9,540.5,540.2,543.6,543.2,542.8,562.1,546.7,555.8,555.6,555.7,555.3,556.8
Revenue,120.3,120.6,121.9,100.2,110.6,111.3,107.3,88.8,108.5,95.4,74.1,93.4,112.1,112.6,113.1,93.7,108.6,106.0
Shares_Diluted,17.141,17.482,18.695,19.509,19.993,19.384,18.837,25.425,27.685,27.688,27.594,27.56,27.578000000000007,27.581,27.49,27.4815,26.928,27.69
Total_Assets,744.5,739.2,744.6,730.8,726.3,711.6,704.0,691.1,768.5,757.2,740.3,845.4,880.4,1029.7,1012.7,1013.2,936.6,1011.5
Total_Liabilities,679.0,679.3,687.7,678.9,680.1,668.6,675.5,673.3,671.2,664.4,648.8,727.4,700.7,682.7,671.4,680.2,682.4,652.9
