AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,10506.1,10389.8,10887.9,9496.2,9036.2,8168.5,,,,
Current_Liabilities,10226.0,10103.0,10612.7,9208.4,8760.8,7913.1,,,,
Diluted_EPS,0.036,0.019,0.041,0.018,0.027,0.012,0.016,0.009,0.022000000000000002,0.078
Goodwill_Intangibles,173.0,171.1,168.9,167.1,161.3,159.4,,,,
Inventory,7.6,7.0,7.8,12.2,11.3,11.5,,,,
LT_Debt,7.1,7.2,8.0,6.8,8.4,8.2,0.0,0.0,0.0,0.0
Revenue,166.6,155.7,158.3,145.7,125.9,114.4,123.0,110.2,96.7,124.4
Shares_Diluted,933.361,933.361,933.3611,933.3611,933.3611,933.3611,,,,
Total_Assets,10910.2,10772.5,11262.7,9868.2,9403.5,8537.7,,,,
Total_Liabilities,10243.7,10121.4,10629.3,9224.6,8776.8,7927.7,,,,
