AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,190.5,198.0,143.6,163.4,185.7,0.5,1.7,1.9,0.0
Current_Liabilities,131.9,122.3,137.3,125.2,128.9,5.6,1.7,1.6,0.1
Diluted_EPS,-0.665,-0.689,0.04,-1.684,-2.581,-0.14,-0.359,-0.028,0.0
Goodwill_Intangibles,736.3,864.3,1020.5,1014.4,1508.4,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,478.5,477.8,543.8,545.3,546.8,0.0,0.0,0.0,0.0
Revenue,163.3,153.8,155.8,159.0,313.1,149.1,,,
Shares_Diluted,203.855,199.971,197.629,196.996,176.0965,136.752,34.5,43.125,43.125
Total_Assets,1309.7,1457.3,1562.7,1568.4,2086.5,345.5,346.7,347.0,0.1
Total_Liabilities,908.1,924.8,1058.3,1073.2,1274.4,38.4,47.4,13.7,0.1
