AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016
Current_Assets,3.3,4.5,6.1,7.3,8.0,7.3,7.8,10.1,1.4,0.6,0.8,0.8,,,0.0,0.0,0.1,0.1,0.1,0.0,0.0
Current_Liabilities,7.8,8.0,9.5,7.8,45.0,2.1,1.6,2.0,6.9,6.6,5.4,5.1,,,0.0,0.4,0.4,1.8,0.7,0.0,0.0
Diluted_EPS,-21.281,5.27,7.5,1.532,-25.47,-0.816,-1.752,-1.221,-0.078,-0.296,-0.2739999999999999,-0.336,-6.0120000000000005,-0.165,-0.499,-0.185,0.804,-5.053999999999999,-1.092,-0.701,-0.836
Goodwill_Intangibles,32.9,47.8,48.2,41.1,17.1,16.3,16.5,14.7,14.7,15.2,14.6,14.9,,,,,,,0.0,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,14.0,14.3,13.3,7.2,7.4,7.7,7.9,7.8,8.0,8.6,8.7,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,4.2,4.2,4.2,4.2,2.6,2.6,2.2,2.3,2.0,1.7,1.6,2.0,1.7,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,0.9159,1.1617,1.3994,1.5734,0.7308,0.7297,0.729,0.5029,4.241,4.1623,4.1622,2.9160000000000004,,,1.2943,0.6275,1.536,0.336,0.336,0.3342,0.3339999999999999
Total_Assets,38.4,55.2,57.3,51.3,27.7,26.2,26.9,26.8,18.0,18.3,17.6,17.8,,,0.1,0.1,0.2,0.2,0.5,0.5,0.7
Total_Liabilities,29.5,26.9,35.4,40.0,53.7,13.5,13.7,12.7,18.1,18.1,17.2,16.7,,,0.0,0.4,0.4,1.8,0.7,0.0,0.0
