AAII_QTR_DATA,08/31/2022,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018
Current_Assets,5.7,20.1,19.0,12.2,11.1,10.8,3.6,4.2,4.3,3.9,4.1,4.2,4.1,4.6,4.5,2.8,2.6
Current_Liabilities,14.1,12.7,11.6,15.7,8.5,3.5,3.7,2.6,2.6,2.5,2.7,2.9,3.0,4.6,3.0,3.3,3.3
Diluted_EPS,-1.128,-0.128,-0.167,-0.067,-0.073,-0.016,-0.056,-0.033,-0.181,-0.004,-0.022,-0.004,0.004,-0.004,-0.006,-0.001,-0.001
Goodwill_Intangibles,26.7,43.6,42.3,42.8,41.5,27.6,27.5,26.9,27.3,28.6,28.2,23.0,23.0,22.9,23.0,0.6,0.6
Inventory,0.9,0.6,0.3,0.4,0.3,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1.1,11.4,10.9,1.2,6.1,0.0,0.0,1.0,1.0,1.2,1.2,1.2,1.2,0.0,1.2,1.2,1.2
Revenue,11.7,13.9,2.9,3.2,2.7,2.4,2.1,2.2,1.8,1.0,2.4,2.5,2.4,2.5,2.2,2.3,2.2
Shares_Diluted,29.1226,29.818,28.7407,26.9247,26.5188,25.2989,23.7548,23.5084,23.3948,23.2948,23.0551,22.3873,22.3709,22.3258,21.4281,207.9436,207.569
Total_Assets,40.9,71.8,70.3,63.9,62.0,42.2,34.9,34.8,35.4,36.6,36.6,32.1,32.3,31.7,29.1,5.1,4.7
Total_Liabilities,18.6,27.4,25.8,20.3,18.1,5.6,5.7,5.6,5.8,5.9,6.3,6.5,6.7,6.3,4.2,4.5,4.5
