AAII_QTR_DATA,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,41.8,25.7,24.6,17.0,25.9,32.5,32.1,18.5,10.7,1.4,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,17.6,2.9,5.4,3.1,15.9,25.2,27.5,16.3,9.0,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.182,0.497,0.704,0.574,0.35,0.368,0.335,0.13,0.121,-0.04,-0.005,-0.017,0.0,-0.001,-0.001,0.0,-0.001,-0.002
Goodwill_Intangibles,1.5,1.5,1.3,1.2,1.1,1.0,0.9,0.8,0.3,0.3,,,,,,,,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,6.2,10.3,8.5,7.7,5.2,4.1,3.9,2.5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,7.539,7.539,7.539,7.4707,7.539,7.539,7.5107,7.4526,7.5249,7.4978,7.459,7.891,7.315,7.351,7.315,7.315,7.315,7.315
Total_Assets,43.3,27.2,25.9,18.3,27.0,33.5,33.1,19.3,11.0,1.6,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Total_Liabilities,17.6,2.9,5.4,3.1,15.9,25.2,27.5,16.3,9.0,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
