AAII_QTR_DATA,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019
Current_Assets,49.3,34.3,49.3,28.3,16.6,,
Current_Liabilities,11.9,1.7,2.6,5.6,3.1,,
Diluted_EPS,-0.31,-0.286,-0.061,0.514,0.097,0.414,0.096
Goodwill_Intangibles,14.3,3.6,3.9,4.3,4.3,,
Inventory,11.4,3.1,2.6,2.7,2.5,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,10.3,2.0,5.4,23.2,6.5,17.9,5.8
Shares_Diluted,24.528,24.5098,22.7677,23.52,23.52,,
Total_Assets,101.0,58.7,63.3,39.7,25.1,,
Total_Liabilities,56.6,4.8,2.8,5.7,3.2,,
