AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,12/30/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
Current_Assets,421.8,451.2,363.0,297.7,297.0,272.0,263.7,211.5,193.8,185.9,185.7,173.3,164.7,152.3,129.1,108.0,98.2,110.5,120.2,,,
Current_Liabilities,281.9,330.6,243.3,222.7,255.1,180.2,202.4,168.0,157.1,165.2,165.2,127.7,130.6,125.5,139.6,136.4,116.5,144.7,159.3,,,
Diluted_EPS,0.446,-0.132,0.008,-0.109,-0.158,0.081,0.021,0.016,-0.03,0.017,-0.175,-0.192,0.059,-0.09,0.313,-0.195,-0.031,-0.72,0.19,-0.072,-0.319,-0.114
Goodwill_Intangibles,296.8,296.9,297.0,112.8,110.4,104.9,100.8,96.1,87.6,83.4,83.4,60.8,60.9,61.7,61.8,58.2,69.4,54.9,56.7,,,
Inventory,150.9,157.6,141.9,126.0,102.4,87.3,72.6,61.0,39.1,41.7,41.7,31.9,29.3,28.5,30.8,35.3,27.6,23.2,24.1,,,
LT_Debt,155.8,162.5,164.7,97.1,91.6,140.2,113.3,97.0,98.4,75.6,75.5,101.5,84.7,80.3,40.6,33.1,37.1,16.9,18.0,0.0,0.0,0.0
Revenue,93.6,93.0,126.6,103.5,67.4,91.1,66.4,81.1,35.5,48.0,91.1,42.1,48.1,25.7,62.3,36.3,49.6,18.7,62.5,29.6,31.6,20.9
Shares_Diluted,63.0795,61.6573,61.7367,45.7937,41.1385,42.4032,42.3768,40.6047,38.7566,39.0383,36.1204,36.368,37.3064,34.6748,36.1498,36.1205,36.1205,29.826,36.0392,,,
Total_Assets,845.9,872.9,785.3,518.2,503.6,469.6,452.3,394.6,361.2,345.7,345.2,309.5,297.6,285.6,261.6,233.1,242.5,233.1,249.7,,,
Total_Liabilities,544.8,600.2,504.8,390.9,415.3,385.5,378.6,326.8,300.2,284.5,283.9,263.7,251.4,240.6,214.8,203.7,195.2,196.0,224.9,,,
