AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,26.0,26.2,25.4,25.2,26.4,22.7,25.1,24.1,22.3,21.6,20.4,17.6
Current_Liabilities,3.7,4.2,4.5,4.8,4.2,4.8,7.8,5.1,3.3,4.4,4.8,3.6
Diluted_EPS,0.004,0.005,0.012,0.028,0.022,-0.022,-0.049,0.019,0.041,0.093,0.058,0.043
Goodwill_Intangibles,4.7,4.8,4.9,5.0,3.1,3.2,3.3,3.4,3.5,3.5,3.6,3.5
Inventory,2.4,2.6,2.3,2.2,2.3,2.1,2.1,2.0,1.9,1.9,1.8,1.2
LT_Debt,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,1.0,1.0,1.0,1.0
Revenue,8.3,8.8,8.9,9.9,8.8,19.2,9.7,9.6,9.5,20.7,10.7,9.0
Shares_Diluted,40.4383,40.3707,40.3999,40.4538,38.8316,38.6966,38.4732,37.485,38.4732,38.4732,38.4732,41.6549
Total_Assets,34.7,35.2,34.9,35.3,34.1,30.9,32.2,31.5,30.0,29.7,27.9,24.3
Total_Liabilities,4.8,5.5,5.7,6.3,5.8,6.5,8.8,6.2,5.3,6.6,6.4,5.1
