AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,102.5,86.8,119.4,140.8,68.8,,,,,,0.9,1.2
Current_Liabilities,26.0,47.3,51.8,51.9,21.8,,,,,,0.1,0.0
Diluted_EPS,-0.942,-0.325,-0.115,-0.539,-0.242,-0.513,-0.264,-0.163,-0.079,-0.13,0.016,0.026000000000000002
Goodwill_Intangibles,3.0,3.0,3.0,3.0,3.0,,,,,,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,97.6,0.0,0.0,0.0,194.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,1.5,1.0,2.4,1.8,2.2,1.8,3.3,4.5,7.9,6.7,0.0,0.0
Shares_Diluted,129.3419,128.443,127.6465,107.633,126.2563,,,,,,23.439,22.1642
Total_Assets,128.9,119.3,162.8,181.6,96.5,,,,,,174.8,174.4
Total_Liabilities,179.4,53.9,59.0,68.1,218.9,,,,,,6.1,6.1
