AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Current_Assets,231.9,243.0,264.6,287.8,285.8,65.2,67.3,,,
Current_Liabilities,62.4,66.2,69.7,92.8,101.0,66.4,294.2,,,
Diluted_EPS,-0.045,-0.024,-0.037,0.015,-0.67,-0.78,-0.627,-0.045,-0.058,-0.009
Goodwill_Intangibles,291.2,292.1,296.0,294.9,298.0,297.8,108.2,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,5.4,6.2,6.9,7.7,8.6,21.7,22.3,0.0,0.0,0.0
Revenue,24.2,29.8,25.7,24.5,20.9,74.7,31.8,14.8,58.5,26.0
Shares_Diluted,170.35,159.1083,148.84,191.05,133.2349,178.2915,178.2915,,,
Total_Assets,535.9,548.8,574.1,597.0,599.1,378.1,190.4,,,
Total_Liabilities,75.0,78.0,78.6,103.0,112.3,90.7,318.2,,,
