AAII_QTR_DATA,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019
Current_Assets,395.8,430.9,339.5,348.8,354.8,392.8,314.4,326.4,344.6,,,,,,
Current_Liabilities,76.4,149.7,60.0,55.9,61.4,129.8,56.8,64.0,96.7,,,,,,
Diluted_EPS,0.129,0.172,0.047,0.135,0.155,0.184,0.064,0.083,0.152,-0.024,0.101,0.127,0.077,0.09,0.0279999999999999
Goodwill_Intangibles,613.2,615.1,617.0,620.0,621.9,623.8,625.8,627.7,631.5,,,,,,
Inventory,327.0,341.9,285.4,292.1,297.5,319.2,267.7,268.8,284.2,,,,,,
LT_Debt,215.6,197.0,213.7,220.5,242.2,220.6,236.0,253.4,367.3,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,103.5,108.2,78.0,91.6,98.7,104.2,70.9,90.4,91.6,52.2,68.7,77.0,72.7,47.5,62.9
Shares_Diluted,115.3277,115.2757,115.4109,115.2817,115.3895,115.396,115.4604,108.404,115.0468,,,,,,
Total_Assets,1307.5,1344.7,1251.5,1224.2,1235.3,1263.1,1183.1,1197.0,1222.8,,,,,,
Total_Liabilities,403.0,457.1,384.9,364.6,391.8,438.7,381.4,404.0,551.0,,,,,,
