AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,330.7,339.1,376.2,389.4,407.4,408.5,425.3,434.3,175.5,,,,,,
Current_Liabilities,166.8,167.5,152.7,155.4,155.5,141.9,131.4,128.5,120.8,,,,,,
Diluted_EPS,-0.299,-0.216,-0.27,-0.329,-0.274,-0.32,-0.276,-0.273,-0.29,,-0.187,-0.044,-0.204,,
Goodwill_Intangibles,1.8,1.8,1.9,2.0,3.1,3.3,2.2,2.2,1.5,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,65.9,64.9,63.4,59.9,56.8,53.3,50.6,46.8,42.7,38.9,38.7,36.5,34.2,30.4,27.9
Shares_Diluted,87.2881,86.2479,85.509,84.7278,83.9641,82.6521,82.6521,82.6521,82.6521,,,,,,
Total_Assets,450.6,445.2,435.6,441.5,459.6,459.6,467.3,474.2,213.1,,,,,,
Total_Liabilities,202.6,191.0,178.8,177.9,181.3,174.0,166.1,158.7,146.8,,,,,,
