AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,331.0,260.1,250.3,374.8,496.8,334.1,356.4,369.0,319.1,390.7,390.5,358.3,425.8,359.8,413.6,417.1,406.7
Current_Liabilities,860.2,394.6,400.3,547.7,460.2,610.1,576.5,406.7,401.0,393.7,365.8,273.4,286.0,272.9,404.1,685.5,809.1
Diluted_EPS,0.453,0.371,0.419,0.262,0.165,0.271,-1.486,0.146,0.11,-0.809,0.219,0.036000000000000004,0.217,0.312,0.032,0.203,0.15
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,,,10.1,,,,8.8,8.7,9.3,,,,7.1,7.9,8.5,8.4,6.8
LT_Debt,1649.5,2187.8,2059.4,2037.5,1811.0,1613.5,1688.3,2167.9,2295.3,2356.4,2392.6,2377.7,2346.3,2320.9,2274.2,1350.6,1181.7
Revenue,153.3,152.4,152.1,135.4,116.8,109.1,114.9,115.8,118.5,121.9,119.9,111.5,110.9,116.5,118.6,111.0,96.8
Shares_Diluted,126.7855,126.7855,191.231,126.7855,118.4855,116.3448,111.219,109.117,107.9212,107.6308,107.9541,107.6111,129.335,107.654,107.62899999999999,146.233,105.063
Total_Assets,3589.8,3606.5,3459.3,3526.3,3193.9,3060.6,3093.2,3576.8,3711.1,3782.5,3885.4,3800.4,3806.9,3782.8,3877.8,3590.2,3464.0
Total_Liabilities,2543.2,2592.2,2477.0,2605.8,2292.6,2244.2,2297.6,2649.2,2777.1,2848.6,2779.0,2684.5,2652.3,2614.1,2697.8,2358.5,2222.2
