AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,25.1,24.1,22.3,21.6,20.4,17.6,14.7,15.0,15.1,15.5,15.9,16.6,16.7,16.7
Current_Liabilities,7.8,5.1,3.3,4.4,4.8,3.6,2.8,2.8,3.1,3.2,3.5,4.5,4.8,5.2
Diluted_EPS,-0.049,0.019,0.041,0.093,0.058,0.043,0.0,-0.002,0.001,-0.004,0.002,0.002,0.006999999999999999,0.023
Goodwill_Intangibles,3.3,3.4,3.5,3.5,3.6,3.5,3.5,3.4,3.5,3.6,3.7,3.7,3.8,3.9
Inventory,2.1,2.0,1.9,1.9,1.8,1.2,1.1,1.2,1.0,1.0,1.2,1.2,1.1,0.9
LT_Debt,0.4,0.4,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.7,0.7,0.7,0.7,0.7
Revenue,9.7,9.6,9.5,20.7,10.7,9.0,5.9,5.8,6.0,6.8,6.3,6.7,7.2,7.3
Shares_Diluted,38.4732,37.485,38.4732,38.4732,38.4732,41.6549,37.4125,37.4125,38.3857,37.2886,38.2982,38.2982,38.2982,38.2982
Total_Assets,32.2,31.5,30.0,29.7,27.9,24.3,21.6,22.0,22.3,21.3,21.8,22.7,22.9,23.1
Total_Liabilities,8.8,6.2,5.3,6.6,6.4,5.1,4.4,4.6,5.0,4.1,4.4,5.4,5.7,6.1
