AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,03/31/2020
Current_Assets,182.4,159.4,170.3,184.8,200.7,203.2,220.4,236.0,,
Current_Liabilities,36.1,31.1,32.0,29.7,31.6,24.2,26.4,29.2,,
Diluted_EPS,0.046,-0.011,-0.04,-0.102,-0.066,-0.046,-0.089,-0.156,-0.199,-0.122
Goodwill_Intangibles,257.5,243.3,267.8,298.1,308.1,319.9,330.5,323.5,,
Inventory,44.2,35.7,36.4,32.0,28.9,26.0,25.7,21.0,,
LT_Debt,7.3,6.8,6.9,5.2,5.4,5.1,2.1,2.0,0.0,0.0
Revenue,57.9,31.8,27.5,22.7,43.7,20.0,17.7,13.6,54.1,8.0
Shares_Diluted,119.0981,119.0981,119.101,119.01,119.0071,119.0071,119.0071,119.0071,,
Total_Assets,476.3,438.2,473.2,516.3,539.8,552.6,574.7,570.9,,
Total_Liabilities,65.6,59.3,62.4,61.8,64.1,57.4,58.0,60.6,,
